NU_ANO_CENSO;NO_REGIAO_IES;CO_REGIAO_IES;NO_UF_IES;SG_UF_IES;CO_UF_IES;NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;NO_MESORREGIAO_IES;CO_MESORREGIAO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;DS_ENDERECO_IES;DS_NUMERO_ENDERECO_IES;DS_COMPLEMENTO_ENDERECO_IES;NO_BAIRRO_IES;NU_CEP_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA
2019;Centro-Oeste;5;Mato Grosso;MT;51;Cuiabá;5103403;1;Centro-Sul Mato-grossense;4;Cuiabá;17;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Avenida Fernando Correa da Costa;2367;Cidade Universitária;Boa Esperança;78060900;1483;2;21;3;22;52;80;180;213;365;299;134;81;20;11;1;0;1;1;0;1;0;1;0;0;2360;2360;1170;1190;0;190;132;529;1509;2257;1747;510;103;0;182;387;481;388;288;209;184;241;1380;4;576;148;6;246;2318;42;5
2019;Centro-Oeste;5;Distrito Federal;DF;53;Brasília;5300108;1;Distrito Federal;1;Brasília;1;1;1;FUNDACAO UNIVERSIDADE DE BRASILIA;2;2;UNIVERSIDADE DE BRASÍLIA;UNB;Campus Universitário Darcy Ribeiro;s/n;;Asa Norte;70910900;3233;0;0;11;39;200;249;304;391;820;652;261;208;57;41;1;0;1;1;1;1;1;1;51216;356305;3042;2937;1355;1582;0;18;34;336;2549;2735;2440;295;202;0;80;246;479;501;418;394;385;434;1764;80;468;56;7;562;2767;170;4
2019;Nordeste;2;Sergipe;SE;28;São Cristóvão;2806701;0;Leste Sergipano;3;Aracaju;11;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;3;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Avenida Marechal Rondon;s/n;;Jardim Rosa Elze;49100000;1444;0;30;5;21;101;132;661;472;0;0;9;10;2;1;1;0;1;1;1;1;1;1;49339;277917;1929;1818;871;947;0;44;69;340;1365;1581;1394;187;237;0;101;228;355;341;268;221;153;151;169;28;283;3;4;1331;1789;29;3
2019;Norte;1;Amazonas;AM;13;Manaus;1302603;1;Centro Amazonense;3;Manaus;7;1;1;FUNDACAO UNIVERSIDADE DO AMAZONAS;4;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Av. Rodrigo Otávio;6200;Campus Universitário;Coroado II;69077000;1713;7;9;4;16;136;185;237;237;378;251;124;88;21;20;1;0;1;1;0;1;1;1;48155;4136;1901;1741;797;944;0;104;128;414;1095;1645;1377;268;96;0;120;193;301;289;237;237;182;182;43;1;48;0;1;1648;1739;2;0
2019;Nordeste;2;Piauí;PI;22;Teresina;2211001;1;Centro-Norte Piauiense;2;Teresina;3;1;1;FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI;14054;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Campus Universitário Ministro Petrônio Portela;s/n;SG - 07;Ininga;64049550;1189;3;15;0;6;44;101;131;141;257;229;117;93;23;29;1;0;0;1;0;1;1;1;128000;0;1903;1729;840;889;0;3;150;461;1115;1613;1311;302;116;0;90;255;355;301;195;168;139;226;128;48;249;1;1;1302;1729;0;0
2019;Sudeste;3;Minas Gerais;MG;31;Ouro Preto;3146107;0;Metropolitana de Belo Horizonte;7;Ouro Preto;33;1;1;UNIVERSIDADE FEDERAL DE OURO PRETO;6;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Rua Diogo de Vasconcelos;122;;Centro;35400000;1117;59;51;37;33;144;172;74;106;109;116;102;83;19;12;1;0;1;1;1;1;1;1;0;15000;905;794;306;488;0;2;13;91;688;786;732;54;8;0;15;91;179;170;94;97;81;67;349;19;131;3;1;291;791;3;0
2019;Sudeste;3;São Paulo;SP;35;São Carlos;3548906;0;Araraquara;5;São Carlos;25;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS;1302;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Via Washington  Luis;Km 235;S/Nº;Monjolinho;13565905;994;19;24;11;16;9;66;86;114;181;151;129;92;54;42;1;0;1;1;1;1;1;1;45741;273962;1410;1375;636;739;0;3;6;64;1302;1301;1217;84;74;0;25;122;271;257;208;178;149;165;747;14;60;30;2;522;1343;32;6
2019;Sudeste;3;Minas Gerais;MG;31;Viçosa;3171303;0;Zona da Mata;12;Viçosa;62;1;1;UNIVERSIDADE FEDERAL DE VICOSA;15588;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Av. P.H. Rolfs;s/n;Campus Universitário;Campus Universitário;36570000;2101;4;125;1;47;30;372;97;187;335;475;179;160;47;42;1;0;0;1;1;1;1;1;0;0;1335;1335;543;792;0;62;22;165;1086;1312;1164;148;23;0;67;170;275;232;139;149;164;139;389;18;93;5;0;830;1310;25;1
2019;Sul;4;Paraná;PR;41;Londrina;4113700;0;Norte Central Paranaense;3;Londrina;11;1;2;SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI;37;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Rodovia Celso Garcia Cid Pr 445 Km 380;;UEL - CAMPUS UNIVERS;Campus Universitário;86057970;831;0;6;1;5;64;73;152;181;155;96;34;41;7;16;1;0;1;1;1;1;1;1;0;2667;1828;1789;908;881;0;11;86;353;1339;1338;1008;330;433;18;65;160;249;233;247;259;279;297;1450;21;120;83;2;113;1767;22;52
2019;Sul;4;Paraná;PR;41;Curitiba;4106902;1;Metropolitana de Curitiba;10;Curitiba;37;1;5;ASSOCIACAO PARANAENSE DE CULTURA - APC;10;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Rua Imaculada Conceição;1155;;Prado Velho;80215901;1274;9;9;14;19;262;200;353;156;134;72;15;19;7;5;1;0;1;0;0;1;1;1;58080;23240;1412;1410;595;815;0;3;83;615;709;461;0;461;718;231;31;124;214;261;214;213;175;178;806;14;45;31;1;513;1410;0;10
