cod_uf,abbrev_state,brancos,PercDocBr
11,RO,1540,0.5480427046263345
12,AC,332,0.24215900802334062
13,AM,1111,0.2187007874015748
14,RR,389,0.3228215767634855
15,PA,1978,0.22523343202004098
16,AP,472,0.2957393483709273
17,TO,1595,0.5112179487179487
21,MA,2442,0.36893790602810095
22,PI,1232,0.22130411352613616
23,CE,4353,0.3288012689780195
24,RN,1876,0.29418221734357847
25,PB,3244,0.3371440448971108
26,PE,5382,0.37821503865073786
27,AL,2159,0.44699792960662527
28,SE,543,0.14538152610441768
29,BA,6046,0.31991110640774645
31,MG,20597,0.5020352450825066
32,ES,4494,0.6797761306912721
33,RJ,13329,0.4234924064307047
35,SP,58394,0.7611611507227863
41,PR,18951,0.6848438855160451
42,SC,13240,0.743653111660301
43,RS,19378,0.8231595939000043
50,MS,3514,0.6041953232462174
51,MT,3336,0.4635908838243469
52,GO,5124,0.39060832443970117
53,DF,4323,0.5252095735633581
