uf,abbrev_state,name_region,code_region,PercBr,Branca
rondonia,RO,Norte,1,0.30679864984869,559854.7669021
acre,AC,Norte,1,0.1780579947303215,160845.66261447
amazonas,AM,Norte,1,0.17537078015879112,731257.57187809
roraima,RR,Norte,1,0.19744966642747372,116795.03184193
para,PA,Norte,1,0.1912829558937866,1688980.48922434
amapa,AP,Norte,1,0.189056106505254,167583.49403138
tocantins,TO,Norte,1,0.20911108139096088,337191.40990292
maranhao,MA,Nordeste,2,0.18156472631387532,1299978.5664388
piaui,PI,Nordeste,2,0.21818556275816853,719212.48901117
ceara,CE,Nordeste,2,0.271518388942328,2523745.77730516
rio grande do norte,RN,Nordeste,2,0.37088136346437894,1331541.98061891
paraiba,PB,Nordeste,2,0.3114786865114932,1264590.07402226
pernambuco,PE,Nordeste,2,0.3258124197926188,3153507.78588433
alagoas,AL,Nordeste,2,0.26635690883278923,898433.83984069
sergipe,SE,Nordeste,2,0.24392420207331358,575568.42586012
bahia,BA,Nordeste,2,0.1868700954303731,2807073.62435055
minas gerais,MG,Sudeste,3,0.41071253795266005,8841507.78896147
espirito santo,ES,Sudeste,3,0.364958692492004,1515609.21772748
rio de janeiro,RJ,Sudeste,3,0.45385527602240916,7971565.35815567
sao paulo,SP,Sudeste,3,0.5812294947633415,27335328.930223178
parana,PR,Sul,4,0.6366080661415148,7429733.69655681
santa catarina,SC,Sul,4,0.7877011312046939,5844621.08939617
rio grande do sul,RS,Sul,4,0.7927867205944813,9112158.96667757
mato grosso do sul,MS,Centro Oeste,5,0.4292979572951395,1201881.45080743
mato grosso,MT,Centro Oeste,5,0.308038469012049,1095383.56402509
goias,GO,Centro Oeste,5,0.35739316780721775,2612570.50477142
distrito federal,DF,Centro Oeste,5,0.3758425963535965,1178089.14218261
